HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"","1","Herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp.), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae), excluding edible fish offal of subheadings 0302.91 to 0302.99:","","","","","",""
"0302.41.00.00","2","Herrings (Clupea harengus, Clupea pallasii)","[""kg""]","Free","","Free","",""
"0302.42.00.00","2","Anchovies (Engraulis spp.)","[""kg""]","Free","","Free","",""
"0302.43.00.00","2","Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)","[""kg""]","Free","","2.2¢/kg","",""
"0302.44.00.00","2","Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)","[""kg""]","Free","","4.4¢/kg","",""
"0302.45","2","Jack and horse mackerel (Trachurus spp):","","","","","",""
"0302.45.11.00","3","Scaled (whether or not heads, viscera and/or fins have been removed, but not otherwise processed), in immediate containers weighing with their contents 6.8 kg or less","[""kg""]","3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"0302.45.50.00","3","Other","[""kg""]","Free","","2.2¢/kg","",""
"0302.46","2","Cobia (Rachycentron canadum) :","","","","","",""
"0302.46.11.00","3","Scaled (whether or not heads, viscera and/or fins have been removed, but not otherwise processed), in immediate containers weighing with their contents 6.8 kg or less","[""kg""]","3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"0302.46.50.00","3","Other","[""kg""]","Free","","2.2¢/kg","",""
"0302.47.00","2","Swordfish (Xiphias gladius)","","Free","","2.2¢/kg","",""
"0302.47.00.10","3","Steaks","[""kg""]","","","","",""
"0302.47.00.90","3","Other","[""kg""]","","","","",""
"0302.49.00.00","2","Other","[""kg""]","Free","","2.2¢/kg","",""
